canonicalsmiles,smiles,inchikey,molecularweight
CCC(C)SSC1=NC=CN1,CCC(C)SSc1ncc[nH]1,BPBPYQWMFCTCNG-UHFFFAOYSA-N,188.3
C1C=C2C(=CC(=O)O2)C(O1)O,O=C1C=C2C(=CCOC2O)O1,ZRWPUFFVAOMMNM-UHFFFAOYSA-N,154.12
CN(C)C(=N)N=C(N)N.Cl,CN(C)C(=N)N=C(N)N,OETHQSJEHLVLGH-UHFFFAOYSA-N,165.62
CCCCOCC(C)OCC(C)O,CCCCOCC(C)OCC(C)O,CUVLMZNMSPJDON-UHFFFAOYSA-N,190.28
CCC(C)(C)C1=CC=C(C=C1)O,CCC(C)(C)c1ccc(O)cc1,NRZWYNLTFLDQQX-UHFFFAOYSA-N,164.24
C1C(C(C(C(O1)O)O)O)O,OC1COC(O)C(O)C1O,SRBFZHDQGSBBOR-KLVWXMOXSA-N,150.13
CN(C)N=NC1=C(NC=N1)C(=O)N,CN(C)N=Nc1nc[nH]c1C(N)=O,FDKXTQMXEQVLRF-UHFFFAOYSA-N,182.18
C1=CC=C(C=C1)C(C#N)Br,N#CC(Br)c1ccccc1,XUHFBOUSHUEAQZ-UHFFFAOYSA-N,196.04
CC(CCOCCC(C)O)O,CC(O)CCOCCC(C)O,AFSYRVDDZGJTIL-UHFFFAOYSA-N,162.23
ClCl,ClCl,KZBUYRJDOAKODT-UHFFFAOYSA-N,70.9
C1CCN(C1)C(=S)S,S=C(S)N1CCCC1,VSWDORGPIHIGNW-UHFFFAOYSA-N,147.3
C1C2N1C(=O)N=C2N,NC1=NC(=O)N2CC12,BIXBBIPTYBJTRY-UHFFFAOYSA-N,111.1
CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,OTSBKHHWSQYEHK-UHFFFAOYSA-N,196.16
CC1=CC(=NS(=O)(=O)O1)[O-],CC1=CC(=O)NS(=O)(=O)O1,YGCFIWIQZPHFLU-UHFFFAOYSA-M,162.15
C1=CSC(=C1)C=CC2=CC=NN2,C(=Cc1cccs1)c1ccn[nH]1,FOHWAQGURRYJFK-ONEGZZNKSA-N,176.24
CCC(C)(CCC1=CC=CC=C1)O,CCC(C)(O)CCc1ccccc1,AEJRTNBCFUOSEM-UHFFFAOYSA-N,178.27
C1=CC(=C(C=C1N)C(=O)O)O,Nc1ccc(O)c(C(=O)O)c1,KBOPZPXVLCULAV-UHFFFAOYSA-N,153.14
C(=O)(N)N,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,60.056
[N+](=O)([O-])[O-].[Na+],O=[N+]([O-])[O-],VWDWKYIASSYTQR-UHFFFAOYSA-N,84.995
C1=CC=C2C(C=CC2=C1)O,OC1C=Cc2ccccc21,KWRSKZMCJVFUGU-UHFFFAOYSA-N,132.16
CC(C)C(C)(C)C,CC(C)C(C)(C)C,ZISSAWUMDACLOM-UHFFFAOYSA-N,100.2
CC1=CCC(CC1)C(=C)C,C=C(C)C1CC=C(C)CC1,XMGQYMWWDOXHJM-UHFFFAOYSA-N,136.23
CC12CC3CC(C1)(CC(C3)(C2)N)C,CC12CC3CC(C)(C1)CC(N)(C3)C2,BUGYDGFZZOZRHP-UHFFFAOYSA-N,179.3
C1=CC=C(C=C1)CCN=C=S,S=C=NCCc1ccccc1,IZJDOKYDEWTZSO-UHFFFAOYSA-N,163.24
C(C(=O)O)F,O=C(O)CF,QEWYKACRFQMRMB-KTXUZGJCSA-N,77.04
[N-]=[N+]=O,[N-]=[N+]=O,GQPLMRYTRLFLPF-UHFFFAOYSA-N,44.013
